,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z
0,0.5085061192512512,0.7176768779754639,0.4641929566860199,0.5112683176994324,0.7066952586174011,0.474372535943985,0.5143091082572937,0.7328920662403107,0.47942477464675903,0.5398241877555847,0.7307580411434174,0.48821142315864563,0.4882476925849914,0.7745081782341003,0.45601269602775574,0.4947448074817657,0.7750319242477417,0.46296826004981995
1,0.508671224117279,0.7198175191879272,0.4460664689540863,0.5198459625244141,0.6852620542049408,0.49194228649139404,0.5145779252052307,0.7414014041423798,0.46035441756248474,0.5381309986114502,0.7107289433479309,0.5039482712745667,0.4727544486522674,0.7767342329025269,0.42526161670684814,0.4912902414798736,0.7775055766105652,0.47299546003341675
2,0.5087043046951294,0.7288022935390472,0.4202842712402344,0.5145302414894104,0.6893826723098755,0.5085148215293884,0.5147388577461243,0.7542732059955597,0.4328252375125885,0.5227634310722351,0.7050388157367706,0.5187824964523315,0.475992888212204,0.7788335084915161,0.3924095332622528,0.4906720221042633,0.7748095989227295,0.4995395541191101
3,0.5070301294326782,0.7258149981498718,0.40138939023017883,0.5144429802894592,0.6786612868309021,0.5233145356178284,0.5137053728103638,0.7503930032253265,0.4083985984325409,0.5233644247055054,0.6949231028556824,0.5339292883872986,0.4719642698764801,0.7695395946502686,0.37085649371147156,0.4892414808273315,0.7492297887802124,0.5198559165000916
4,0.5006911158561707,0.7107622623443604,0.3931904733181,0.5154753923416138,0.6405815184116364,0.5287816524505615,0.5137184262275696,0.7401379644870758,0.39813604950904846,0.5256109833717346,0.6518318057060242,0.5418372750282288,0.4659578204154968,0.7609953284263611,0.3627702295780182,0.487222671508789,0.7283386588096619,0.5338112115859985
5,0.498851329088211,0.71037957072258,0.39661505818367004,0.5112336874008179,0.634204626083374,0.526825487613678,0.5138304233551025,0.7425503134727478,0.4026429057121277,0.522538959980011,0.6420964300632477,0.5370272994041443,0.468355268239975,0.7632822394371033,0.3668784499168396,0.472494900226593,0.6894736886024475,0.5417087078094482
6,0.4980989098548889,0.7122358977794647,0.4077039361000061,0.507420003414154,0.6210026144981384,0.5169129967689514,0.5111997127532959,0.7382550537586212,0.4180651009082794,0.521800696849823,0.6260998547077179,0.527066707611084,0.4702604711055755,0.7825263142585754,0.3768385350704193,0.4701572954654693,0.6619409918785095,0.534343421459198
7,0.498229056596756,0.7051617503166199,0.4177040457725525,0.5049973130226135,0.6248459219932556,0.5144509673118591,0.5220843553543091,0.7248111963272095,0.43166619539260864,0.5203120708465576,0.6290780007839203,0.5193554162979126,0.4847019016742706,0.7962062358856201,0.38711339235305786,0.4738437831401825,0.6674237847328186,0.5275214910507202
8,0.5040990710258484,0.634663313627243,0.44995367527008057,0.5055010914802551,0.644271731376648,0.4985954165458679,0.5263093709945679,0.6450983583927155,0.46221986413002014,0.5208789706230164,0.6521685719490051,0.5055904388427734,0.4871318936347961,0.8034924268722534,0.4186175465583801,0.4747025668621063,0.6839136481285095,0.5240215063095093
9,0.5000575184822083,0.643781304359436,0.4709579050540924,0.5013649463653564,0.6700519621372223,0.48192131519317627,0.5256639719009399,0.6546920835971832,0.4840100407600403,0.509712278842926,0.6807877123355865,0.49542486667633057,0.4821633994579315,0.7978177666664124,0.4439304769039154,0.4782805442810058,0.7067992091178894,0.48248156905174255
